timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_vel_x,angular_vel_y,angular_vel_z,linear_acc_x,linear_acc_y,linear_acc_z
1741261534.9789057,0.465022,-0.0036758028,-0.0073833894,0.8852607,-0.0745685,-0.040480044,-1.4093447,0.32920274,-0.36032736,8.655039
1741261534.9807029,0.46626294,-0.0036956025,-0.0074145887,0.88460743,-0.05432848,0.03515372,-1.4018879,0.32920274,-0.36032736,8.655039
1741261534.9830692,0.46750402,-0.003719803,-0.007407177,0.88395214,-0.025566343,0.028762136,-1.4061489,0.5793968,-1.0055647,8.689755
1741261534.9848049,0.46875542,-0.0037118434,-0.007422822,0.8832891,-0.025566343,-0.0021305287,-1.4231931,0.5793968,-1.0055647,8.689755
1741261534.9867868,0.47001538,-0.0037375456,-0.007422437,0.8826192,-0.03515372,0.04154531,-1.4263889,0.5793968,-1.0055647,8.689755
1741261534.9891448,0.47189814,-0.003756703,-0.0074363793,0.88161373,-0.051132686,0.0149137005,-1.434911,0.35673606,-0.9636662,9.103952
1741261534.9907176,0.472529,-0.0037618557,-0.007443482,0.8812757,-0.03515372,0.0149137005,-1.4338458,0.35673606,-0.9636662,9.103952
1741261534.9931922,0.4737943,-0.0037723186,-0.0074202428,0.88059634,-0.0010652643,0.033023193,-1.4444984,0.63087213,-0.415394,8.124723
1741261534.9949858,0.47506216,-0.0037710876,-0.0074025383,0.87991303,-0.010652643,0.019174758,-1.4444984,0.63087213,-0.415394,8.124723
1741261534.997184,0.4763286,-0.003831855,-0.007385027,0.87922806,-0.05752427,0.08522114,-1.4253236,0.6548142,-0.62967503,8.358158
1741261534.9986947,0.47760573,-0.0038846205,-0.0073796045,0.87853485,-0.04154531,0.05752427,-1.4551511,0.6548142,-0.62967503,8.358158
1741261535.000655,0.4788988,-0.0039212457,-0.007391207,0.8778303,-0.043675836,0.051132686,-1.4689995,0.6548142,-0.62967503,8.358158
1741261535.0030863,0.48019272,-0.0039536646,-0.0074000037,0.87712306,-0.038349517,0.04900216,-1.4817827,0.6332663,-0.49559975,7.326257
1741261535.0047486,0.48149887,-0.004004569,-0.0074134073,0.87640625,-0.04687163,0.06817692,-1.4998921,0.6332663,-0.49559975,7.326257
1741261535.0066657,0.4828216,-0.0040441784,-0.007406308,0.8756781,-0.02237055,0.062850595,-1.5201322,0.8535329,-0.47764325,8.158242
1741261535.0093684,0.48414475,-0.0040844097,-0.007381841,0.8749473,-0.01704423,0.07137271,-1.5105448,0.8535329,-0.47764325,8.158242
